"glottocode","iso_code","language_name","CLF","longitude","latitude","area","continent","status","family","source"
"mans1260",NA,"Mansim",FALSE,134.011116,-0.915054,"Papunesia",NA,"moribund","Hatam-Mansim","reesink_ger_p_mansim_2002"
"mans1262","msk","Mansaka",FALSE,126.181,6.79221,"Papunesia","Asia","threatened","Austronesian","svelmoe_notes_1974"
"manu1255","kxf","Manumanaw Karen",TRUE,96.9531,19.165,"Eurasia","Asia","not endangered","Sino-Tibetan","wai_descriptive_2013"
"manu1258","wha","Manusela",FALSE,129.429,-3.1109,"Papunesia","Asia","not endangered","Austronesian","chlenova_svetlana_manusela_2012"
"manx1243","glv","Manx",FALSE,-4.45437,54.2604,"Eurasia","Europe","extinct","Indo-European","broderick_george_manx_2010"
"many1258","mxc","Manyika",FALSE,32.8052,-18.1927,"Africa","Africa","not endangered","Atlantic-Congo","stevick_earl_w_manyika_1960"
"maon1238","nbi","Mao Naga",FALSE,94.0035,25.3836,"Eurasia","Asia","threatened","Sino-Tibetan","giridhar_p_p_mao_1994"
"maon1241","mmd","Maonan",TRUE,108.024,25.0169,"Eurasia","Asia","shifting","Tai-Kadai",NA
"maor1244","swb","Maore Comorian",FALSE,45.154942,-12.830306,"Africa","Africa","shifting","Atlantic-Congo","alnet_aimee_johansen_clause_2009"
"maor1246","mri","Maori",FALSE,176.541,-38.2881,"Papunesia","Pacific","shifting","Austronesian","parkinson_phil_maori_2016"
"mape1249","mlh","Mape",FALSE,147.682,-6.59318,"Papunesia","Pacific","shifting","Nuclear Trans New Guinea","sifuma_dick_description_1997"
"mapo1242","bzh","Mapos Buang",FALSE,146.774,-6.86672,"Papunesia","Pacific","not endangered","Austronesian","hooley_bruce_arthur_mapos_1970"
"mapu1245","arn","Mapudungun",TRUE,-71.277,-38.7392,"South America","Americas","shifting","Araucanian",NA
"maqu1238","mch","Maquiritari",FALSE,-64.3877,4.70705,"South America","Americas","shifting","Cariban","hall_katherine_l_morphosyntax_1988"
"mara1373","vmh","Maraghei",FALSE,49.9665,36.8259,"Eurasia","Asia","shifting","Indo-European","stilo_donald_l_dikin_2018"
"mara1378","mar","Marathi",TRUE,76.6665,17.9344,"Eurasia","Asia","not endangered","Indo-European",NA
"mara1379","nma","Maram Naga",TRUE,94.2205,25.4378,"Eurasia","Asia","threatened","Sino-Tibetan","singh_descriptive_1984"
"mara1382","mrh","Mara Chin",FALSE,93.0387,22.1138,"Eurasia","Asia","threatened","Sino-Tibetan","arden_michelle_j_phonetic_2010"
"mara1385","mec","Marra",FALSE,134.865,-14.7927,"Australia","Pacific","nearly extinct","Mangarrayi-Maran","heath_basic_1981"
"mara1386","zmr","Maranunggu",FALSE,130.12,-13.6754,"Australia","Pacific","nearly extinct","Western Daly","tryon_darrell_t_introduction_1970"
"mara1399","mrs","Maragus",FALSE,167.33,-16.0695,"Papunesia","Pacific","nearly extinct","Austronesian","crowley_tape_2006"
"mara1404","mrw","Maranao",FALSE,124.175,7.79414,"Papunesia","Asia","not endangered","Austronesian","mckaughan_maranao_1967"
"marg1265","mrt","Marghi Central",FALSE,13.0521,10.93854,"Africa","Africa","not endangered","Afro-Asiatic","hoffmann_grammar_2019"
"mari1414","mrr","Maria (India)",FALSE,79.9144,19.7875,"Eurasia","Asia","not endangered","Dravidian","vaz_christopher_functional_2005"
"mari1416","nng","Maring Naga",TRUE,94.0723,24.2854,"Eurasia","Asia","shifting","Sino-Tibetan","woodward_maring_1973"
"mari1424","mfr","Marithiel",FALSE,130.237,-13.8818,"Australia","Pacific","nearly extinct","Western Daly","green_ian_marrithiyel_1989"
"mari1428","dad","Marik",FALSE,145.59,-5.349,"Papunesia","Pacific","not endangered","Austronesian","elliot_george_dami_1979"
"mari1435","mbw","Maring",FALSE,144.642,-5.44015,"Papunesia","Pacific","threatened","Nuclear Trans New Guinea","ningomba_mangi_singh_descriptive_1978"
"mari1440","mrc","Maricopa",FALSE,-111.749,33.5123,"North America","Americas","moribund","Cochimi-Yuman","gordon_maricopa_1986"
"mark1255","enb","Markweeta",FALSE,35.5866,1.15018,"Africa","Africa","shifting","Nilotic","mietzner_cherangany_2016"
"mars1254","mah","Marshallese",FALSE,167.73,8.72,"Papunesia","Pacific","not endangered","Austronesian","zewen_francois-xavier_nicolas_marshallese_1977"
"mart1255","vma","Martuthunira",TRUE,116.607,-20.9294,"Australia","Pacific","nearly extinct","Pama-Nyungan","dench_martuthunira_1987"
"mart1256","mpj","Martu Wangka",FALSE,121.954,-24.3194,"Australia","Pacific","shifting","Pama-Nyungan","jones_grammar_2011"
